country	year	lifeExp
Rwanda	1992	23.599
Afghanistan	1952	28.801
Gambia	1952	30
Angola	1952	30.015
Sierra_Leone	1952	30.331
Afghanistan	1957	30.332
Cambodia	1977	31.22
Mozambique	1952	31.286
Sierra_Leone	1957	31.57
Burkina_Faso	1952	31.975
Afghanistan	1962	31.997
Angola	1957	31.999
Gambia	1957	32.065
Guinea-Bissau	1952	32.5
Yemen_Rep	1952	32.548
Sierra_Leone	1962	32.767
Somalia	1952	32.978
Guinea-Bissau	1957	33.489
Guinea	1952	33.609
Mali	1952	33.685
Mozambique	1957	33.779
Gambia	1962	33.896
Yemen_Rep	1957	33.97
Angola	1962	34
Afghanistan	1967	34.02
Ethiopia	1952	34.078
Sierra_Leone	1967	34.113
Equatorial_Guinea	1952	34.482
Guinea-Bissau	1962	34.488
Guinea	1957	34.558
Djibouti	1952	34.812
Burkina_Faso	1957	34.906
Somalia	1957	34.977
Yemen_Rep	1962	35.18
Mali	1957	35.307
Sierra_Leone	1972	35.4
Central_African_Republic	1952	35.463
Guinea-Bissau	1967	35.492
Guinea	1962	35.753
Gambia	1967	35.857
Eritrea	1952	35.928
Equatorial_Guinea	1957	35.983
Angola	1967	35.985
Rwanda	1997	36.087
Afghanistan	1972	36.088
Nepal	1952	36.157
Mozambique	1962	36.161
Malawi	1952	36.256
Myanmar	1952	36.319
Nigeria	1952	36.324
Guinea-Bissau	1972	36.486
Ethiopia	1957	36.667
Madagascar	1952	36.681
Sierra_Leone	1977	36.788
Mali	1962	36.936
Somalia	1962	36.981
Yemen_Rep	1967	36.984
Gabon	1952	37.003
Guinea	1967	37.197
Malawi	1957	37.207
Senegal	1952	37.278
Djibouti	1957	37.328
India	1952	37.373
Niger	1952	37.444
Central_African_Republic	1957	37.464
Guinea-Bissau	1977	37.465
Indonesia	1952	37.468
Bangladesh	1952	37.484
Equatorial_Guinea	1962	37.485
Oman	1952	37.578
Haiti	1952	37.579
Nepal	1957	37.686
Nigeria	1957	37.802
Burkina_Faso	1962	37.814
Angola	1972	37.928
Eritrea	1957	38.047
Chad	1952	38.092
Mozambique	1967	38.113
Benin	1952	38.223
Gambia	1972	38.308
Sierra_Leone	1992	38.333
Malawi	1962	38.41
Afghanistan	1977	38.438
Sierra_Leone	1982	38.445
Liberia	1952	38.48
Mali	1967	38.487
Cameroon	1952	38.523
Togo	1952	38.596
Niger	1957	38.598
Sudan	1952	38.635
Guinea	1972	38.842
Madagascar	1957	38.865
Somalia	1967	38.977
Equatorial_Guinea	1967	38.987
Gabon	1957	38.999
Burundi	1952	39.031
Congo_Dem_Rep	1952	39.143
Zambia	2002	39.193
Guinea-Bissau	1982	39.327
Senegal	1957	39.329
Bangladesh	1957	39.348
Nigeria	1962	39.36
Nepal	1962	39.393
Cambodia	1952	39.417
Central_African_Republic	1962	39.475
Angola	1977	39.483
Liberia	1957	39.486
Malawi	1967	39.487
Niger	1962	39.487
Swaziland	2007	39.613
Sudan	1957	39.624
Somalia	1992	39.658
Djibouti	1962	39.693
Yemen_Rep	1972	39.848
Afghanistan	1982	39.854
Saudi_Arabia	1952	39.875
Chad	1957	39.881
Sierra_Leone	1997	39.897
Angola	1987	39.906
Indonesia	1957	39.918
Angola	1982	39.942
Mali	1972	39.977
Uganda	1952	39.978
Zimbabwe	2002	39.989
Rwanda	1952	40
Sierra_Leone	1987	40.006
Ethiopia	1962	40.059
Oman	1957	40.08
Niger	1967	40.118
Eritrea	1962	40.158
Zambia	1997	40.238
India	1957	40.249
Cambodia	1972	40.317
Mozambique	1972	40.328
Benin	1957	40.358
Vietnam	1952	40.412
Bolivia	1952	40.414
Cameroon	1957	40.428
Cote_d'Ivoire	1952	40.477
Gabon	1962	40.489
Liberia	1962	40.502
Equatorial_Guinea	1972	40.516
Burundi	1957	40.533
Mauritania	1952	40.543
Niger	1972	40.546
Angola	1992	40.647
Congo_Dem_Rep	1957	40.652
Haiti	1957	40.696
Burkina_Faso	1967	40.697
Comoros	1952	40.715
Guinea	1977	40.762
Liberia	1992	40.802
Afghanistan	1987	40.822
Madagascar	1962	40.848
Sudan	1962	40.87
Angola	1997	40.963
Somalia	1972	40.973
Angola	2002	41.003
Sierra_Leone	2002	41.012
Nigeria	1967	41.04
Togo	1957	41.208
Tanzania	1952	41.215
Bangladesh	1962	41.216
Guinea-Bissau	1987	41.245
Niger	1977	41.291
Cambodia	1957	41.366
Swaziland	1952	41.407
Senegal	1962	41.454
Nepal	1967	41.472
Central_African_Republic	1967	41.478
Rwanda	1957	41.5
Liberia	1967	41.536
Afghanistan	1992	41.674
Mali	1977	41.714
Chad	1962	41.716
Namibia	1952	41.725
Afghanistan	1997	41.763
Malawi	1972	41.766
Gambia	1977	41.842
Bolivia	1957	41.89
Egypt	1952	41.893
Myanmar	1957	41.905
Honduras	1952	41.912
Somalia	1977	41.974
Guatemala	1952	42.023
Equatorial_Guinea	1977	42.024
Zambia	1952	42.038
Burundi	1962	42.045
Djibouti	1967	42.074
Mozambique	2007	42.082
Congo_Rep	1952	42.111
Ethiopia	1967	42.115
Congo_Dem_Rep	1962	42.122
Afghanistan	2002	42.129
Lesotho	1952	42.138
